America’s Misguided Immigration Debate	アメリカの見当違いな移民討論
That false story incited deadly anti-American riots in Afghanistan and Pakistan.	その間違った記事が、アフガニスタンとパキスタンにおける致命的な反米暴動を扇動したのだ。
The United States military, appropriately and of necessity, took the time needed to ensure that it had the facts before responding that the charges were untrue.	アメリカ合衆国軍は、この非難が虚偽によるものであるという反応を示す前に、適切かつ必然的に、事実を確信するための時間をとった。
In the meantime, innocent lives were lost.	その間に、無実の命が失われていった。
But we have begun to adapt.	しかし、我々は順応を始めている。
In Iraq, for example, the US military, working closely with the Iraqi government, has sought non-traditional means to provide accurate information to the Iraqi people.	例えば、イラクにおいて、米軍はイラク政府と連結し、イラクの人々に正確な情報を提供するため、非伝統的な手段を模索した。
Yet this has been portrayed as “buying news.”	しかしながら、これは「ニュースの買収」と描写された。
The resulting explosion of critical press stories then causes everything – all activity, all initiative – to stop.	その結果噴出する批判報道記事の塊は、やがて全て－あらゆる活動、あらゆるイニシアチブ－を引き起こす原因となる。
This leads to a “chilling effect” among those serving in the military public affairs field, who conclude that there is no tolerance for innovation.	これは軍事公務の分野に携わる者たちの間で、革新に耐えられないと結論を下す「冷却効果」へとつながる。
Consider for a moment the vast quantity of column inches and hours of television devoted to the allegations of detainee abuse at Abu Ghraib.	ここで、アブ・グライブにおける抑留者虐待の（十分な証拠のない）主張に関する膨大なコラムの幅とテレビ放映の時間を考えてみよう。
Compare that to the volume of coverage and condemnation associated with, say, the discovery of Saddam Hussein’s mass graves, which were filled with hundreds of thousands of innocent Iraqis.	これを例えば、サダム・フセインによる数千の無実のイラク人で埋め尽くされた集団墓地の発覚に関する報道と非難の規模に比較してみたい。
Free governments must make communications planning a central component of every aspect of this struggle.	自由な政府は、この苦闘におけるあらゆる観点の中心要素を計画するためのコミュニケーションをとらなければならない。
Indeed, the longer it takes to put a strategic communications framework into place, the more the vacuum will be filled by the enemy.	実際に、戦略コミュニケーションの枠組み設定の時間が長引くほど、空白は敵に埋められていくのだ。
There are nonetheless signs of modest progress.	それでもなお、かすかな進歩の兆しは現れている。
Soon after the devastating earthquake in Pakistan, a public affairs team was deployed with our sizable military forces in the disaster area.	パキスタンにおける破壊的な地震の直後から、公務チームは我々のを被害地に配置した。
They worked to help focus media attention on America’s commitment to help the Pakistani people.	彼らは、報道がアメリカのパキスタン人救済への貢献に焦点をあわせる助けとなった。
Public opinion surveys conducted by private groups before and after the earthquake suggest that attitudes in Pakistan regarding the US changed dramatically because of this new awareness.	地震の前後で私的グループが行った世論調査は、この新たな意識によってパキスタンのアメリカに対する態度が劇的に変わったことを示した。
Government public affairs and public diplomacy efforts are slowly beginning to reorient staffing, schedules, and bureaucratic culture to engage the full range of today’s media.	公務そして外交の政府は、今日のメディアと全面的に連動するために、人的、時間的、そして事務的文化に対する方向性を徐々に改め始めている。
Still, government must develop the institutional capability to anticipate and act within the same news cycle.	しかしまだ、政府は機関の予期能力、そして同一のニュースサイクルのうちに行動に移る能力を開発しなければならない。
That requires instituting 24-hour press operations centers and elevating Internet operations and other channels to the status of traditional twentieth-century press relations.	それには24時間報道センターの設置、インターネットやその他の番組の連携を、20世紀の報道関係のレベルまで引き上げることが必要である。
It will require less reliance on the traditional print media, just as the publics of the US and the world are relying less on newspapers.	ちょうどアメリカや世界の市民が新聞から離れていくのと同様に、伝統的な紙媒体のメディアへの依存を減らす必要があるだろう。
This also will mean embracing new ways of engaging people throughout the world.	これはまた、世界中の人々を結びつける新しい方法を取り入れることをも意味する。
During the Cold War, institutions such as Radio Free Europe proved to be valuable instruments.	冷戦時代、ラジオ・フリー・ヨーロッパのような機関は、その媒体としての価値を証明した。
We need to consider the possibility of new organizations and programs that can serve a similarly valuable role in the War on Terror.	我々は、対テロ戦争において、同様の価値をもたらし得る新たな組織体やプログラムの可能性を考慮すべきである。
We are fighting a war in which the survival of our way of life is at stake.	我々は、生活スタイルの存続を賭けた戦争に直面している。
And the center of gravity of that struggle is not just the battlefield.	そして、苦闘を巻き起こす重力の核は決して戦場だけではない。
It is a test of wills and it will be won or lost in the court of global public opinion.	それは意志を試すテストであり、その勝敗は世界の公論による裁判にかかっている。
While the enemy is skillful at manipulating the media and using the tools of communications to their advantage, we have an advantage as well: truth is on our side, and, ultimately, truth wins out.	敵がメディアの操作とコミュニケーションという道具の使用によって利益を得ることに長けている一方で、我々にも強みがある：真実は我々にあり、そして、究極的には、真実が勝利するのだ。
	
The Nation State Revisited	民族国家への再訪
It has become fashionable to claim that the nation state has lost its place.	民族国家の居場所がなくなったと主張することが流行になっているようだ。
Globalization, it is said, means that nations can no longer control their own affairs.	グローバリゼーションと呼ばれるものは、国家が自国内の諸事情を管理できなくなる状態を意味する。
They must join with others, as in the European Union or ASEAN or Mercosur, and they must increasingly rely on global institutions like the United Nations, the World Bank, and the World Trade Organization.	彼らは欧州連合やASEAN、南米南部共同市場(Mercosur)などのように、他の国々と共同しなければならず、そして国連や世界銀行、世界貿易機関などの世界規模の機関にますます頼らなければならなくなるだろう。
But such a view is risky.	しかし、このような見方は危険性を伴う。
Indeed, on closer inspection, it proves to be dubious, when not simply wrong.	実際、より詳しく検査すれば、単純に間違っているとは言えずとも、胡散臭さが浮き彫りになる。
The nation state, with both its strengths and weaknesses, is alive and well.	長所と短所を併せ持つ民族国家は、健在なのである。
To begin with its strengths, the nation state remains the only political space in which the constitution of liberty thrives.	まず長所から見ていけば、民族国家は自由の条件が繁栄する唯一の政治的空間であり続けている。
The democratic credentials of organizations like the EU are doubtful, and entirely absent in the case of the UN and other world institutions.	ＥＵのような組織体による民主主義の信任などは疑わしく、国連や他の国際機関における例には完全に欠如している。
Moreover, despite the frequent search for new identities, European or Latin American or otherwise, and despite many references to a new cosmopolitanism, or even a “world civil society,” most people feel at home in their own country – the nation state of which they are citizens.	それどころか、新たな主体性への頻繁な追求にもかかわらず、ヨーロッパあるいはラテンアメリカ、またその他の地域で、また、新たな世界主義への、あるいは「世界市民社会」にまで及ぶ度々の言及にもかかわらず、大概の人が、自分の国に帰属する感じを覚える－彼らが市民である民族国家において、である。
Migration is generally migration to other countries.	移住は一般的に、外国への移住を意味する。
Many countries are currently debating the integration of migrants.	最近、多くの国が移民の統合を討論している。
What does it take to be British or German or American?	英国人であること、ドイツ人、あるいはアメリカ人であることとはいったい何なのか。
Such debates about immigration make sense only if we recognize that citizenship is defined by and for nations.	移住に関するこのような討論は、市民権が、国家により、国家のために定義されることを我々が認識した場合のみにおいて、意味を持つ。
This is, for most people, the positive side of the nation state.	これは、大概の人にとっては、民族国家のポジティブな面である。
The nation state has been, and continues to be, the relevant unit of belonging and civic involvement for most human beings for more than two centuries.	民族国家は、これまでの2世紀以上ものあいだ、大概の人間の帰属先として、また市民的な掛かり合いの対象として適切な単位であり続けてきたし、これからもそうあるであろう。
It is the context in which we find our liberties safeguarded or destroyed.	我々はその関係において自由が保障されているか破壊されているかを図り知るのである。
Certainly, the countries freed from communism in 1989 felt that restoring national sovereignty and recovering liberty were bound together.	当然ながら、1989年に共産主義から開放された国々は国民主権の復帰と自由の復活が結び付けられたものだということを感じた。
Yet there is, and always has been, another, uglier face of the nation state: nationalism.	しかし、これまでも常にそうであったように、民族国家の醜い面がまだある：国粋主義である。
The nationalist impulse can be aggressive or defensive, directed against others or inward-looking.	国粋主義者は攻撃的であったり防御的であったり、他人に歯向かったり内向的だったりする。
Either way, it vitiates all attempts to create an international community of open societies.	どちらのタイプにせよ、開かれた社会の国際共同体を作る試みの全てを無効にするものである。
This was the problem in Iraq: a nation state had become a disturber of peace in the region and beyond.	これはイラクで見られた問題であった：民族国家が、地域近郊の平和の妨害者となったのである。
More recently, a less violent but equally worrying phenomenon has gained ground, the revival of national protectionism.	より最近では、暴力性は弱まったものの少しも油断できない現象、つまり国民保護貿易主義の再興が起こっている。
The Doha Round of trade negotiations is stalled because developed countries do not want to open their markets to cheaper products from developing countries, which in turn try to protect what nascent industries they have.	貿易交渉のドーハ・ラウンドは、先進国が、発生期にある産業の保護のために、自国の市場を発展途上国からの安価な製品に開放したがらず、立ち往生した。
Many would prefer privileged relationships to open trade.	多くが、開放交易よりも特権関係を優先するのである。
In this regard, the EU has often obliged.	この点については、ＥＵは多くの場合において受け入れていた。
But now the nationalist bug has infected the EU itself.	しかし、いま、ＥＵ自体を国粋主義狂者が侵している。
France, Spain, and Poland have attempted to keep major industries firmly in “national hands.”	フランス、スペイン、ポーランドが主要工業を厳重に「国の手中」に留めようと試みた。
Suddenly, the single European market is forgotten, and a return to fragmented markets is taking root.	突然に、単一のヨーロッパ市場は忘れ去られ、ばらばらな市場への再帰が根付いてしまった。
Consider, for example, the European Commission’s so-called “services directive.”	例えば、欧州委員会のいわゆる「サービス指令」を考えてみよう。
Although freedom of movement for labor is one of the single market’s “four freedoms,” many EU countries are trying to protect their domestic labor markets by suspending this freedom for as long as possible.	労働活動の自由が単一市場の「基本的四大自由」のひとつであるにもかかわらず、多くのＥＵ加盟国が、この自由をできる限り保留しておくことによって国内の労働市場を保護しようと試みている。
Germany, in particular, argues that the high unemployment resulting from reunification in 1990 requires it to close its labor market to the new member states to its east.	ドイツは特に、1990年の再統一が生み出した高い失業率は、自国の東側に位置する新加盟国に対する労働市場の閉鎖を要求していると主張���る。
Such trends are dangerous.	このような傾向は危険である。
Historically, protectionism has often led to economic conflict, which can rapidly turn into more serious clashes.	歴史的に、保護貿易主義は頻繁に経済的な摩擦を招いてきたが、これは急速に、より深刻な衝突に変わりうるものであった。
The signs are not good, even in Europe.	ヨーロッパにおいても、良くない兆候が現れている。
A recent summit of EU leaders addressed energy policy – one area where cooperation is not only highly desirable, but necessary.	最近のＥＵ首脳会議ではエネルギー政策が話し合われた。 この分野には協力が単に非常に望ましいばかりでなく、必要不可欠である。
Yet even German Chancellor Angela Merkel – clearly a pro-European – went to the meeting with the explicit intention of barring the creation of other European powers in this field.	ところが、ドイツ首相アンゲラ・メルケル－確固としたヨーロッパ支持者－さえ、この分野における他のヨーロッパ勢力を阻むという明白かつ強固な態度をもって会議に臨んだ。
The German-Russian agreement to build a gas pipeline bypassing Poland and Lithuania, with former Chancellor Gerhard Schröder leading the effort, has already harmed Polish-German relations, to say nothing of European cooperation.	前首相ゲルハルト・シュレーダーが指揮を取ったポーランドとリトアニアを迂回するガスパイプラインの建設というドイツ・ロシア間の協定は、すでにポーランド・ドイツ関係を悪化させている。 ヨーロッパの協力体制の悪化は言うに及ばない。
For a time, the pendulum of political opinion may have swung too far against the nation state and its role.	一時、政治見解の振り子は民族国家とその役割に反対する方向に振り切れてしまった。
This is one reason why so many people have felt estranged from their political leaders.	これは、これほど多くの人が自国の政治指導者への疎遠さを感じたひとつの理由である。
But it would be unfortunate – indeed, dangerous – if the pendulum now swung back to old-fashioned nationalism.	しかし、振り子が今度は古典的な国粋主義に振り戻ってしまったとしたら遺憾－実に、危険－である。
Nation states are welcome; they are important elements of a liberal world order.	自由主義体制の重要な要素である民族国家は歓迎する。
But they have to be open to cooperation and coordination with others.	しかし、それは他者との協力と対等関係に対して開放されていなければならない。
We must be vigilant in resisting the start of a trend reminiscent of developments in the early years of the twentieth century ­­– a trend that quickly led to global disaster.	我々は、20世紀初頭の発展をしのぶ傾向、つまり急速に地球規模の大惨事を招いた傾向の始まりに抵抗するにあたって、注意を怠ってはいけない。
	
The Politics of Frustration	挫折感の政治
Does extreme poverty breed violence and ultimately revolution?	極端な貧困は暴力を生み出し、最終的に改革を引き起こすだろうか？
Many people believe that it does, and seek to explain phenomena ranging from guerrilla insurgencies to Islamist terrorism accordingly.	多くの人はこれを肯定しており、その考え方によって、ゲリラの反乱からイスラム派テロリズムにわたる数々の現象を説明しようとしている。
But Karl Marx and Alexis de Tocqueville, the two great social analysts of the nineteenth century, knew better what makes people tick, and what makes societies change.	しかし、19世紀の偉大な社会分析家であったカール・マルクスとアレクシス・ド・トクビルの二人の方がよほど、何が人々の動機になり、何が社会を変えさせるのかをよく知っていたと言えよう。
Extreme poverty breeds apathy, not rebellion.	極端な貧困は反乱ではなく無関心を生み出す。
The very poor can at most be used for occasional demonstrations of anger, but they are not the stuff from which either terrorists or revolutionaries are made.	最も貧しい人々は、せいぜい怒りの感情を表現するのに時折引き合いに出されるくらいで、テロリストや革命が作り出される材料ではない。
A far more critical group in any society are those who have begun to move forward to new conditions, but then find their path blocked.	いかなる社会においても、より危機的なのは、新たなコンディションへ向けて動き始めたものの、それ以上先へ進む道は塞がれていることに気がついた人々のグループである。
Their desires and ambitions are not unrealistic in the circumstances, but they are frustrated.	その要望と野心はその環境においては非現実的ではないのだが、彼らは挫折感を抱いている。
Things do not move as fast as they want them to, or not at all, owing to conditions that they do not control.	物事は彼らが望むほど早くは進まず、それどころか、彼らの管理外のコンディションが原因で、まんじりともしない。
Opportunities exist, but they cannot be seized or realized.	機会はあっても、それを掴めず、実現されないのである。
This group, not the desperately poor and helpless, forms the great mobilizing force of violent protest, and ultimately of major change.	絶望的に貧しいわけでも無力でもない人々が結集したこのグループが、暴力的な抗議活動、そして最終的に全面変革を求める強大な勢力となっている。
The politics of frustration has been particularly apparent in the postcommunist world during the last fifteen years.	挫折感の政治は、過去15年における脱共産主義の社会でとりわけ顕著に見られる。
The heavy hand of nomenklatura rule was gone, and the vision of a new life like that in the open societies of the West seemed real.	ノーメンクラツーラの圧倒的支配は過ぎ、西側の開かれた社会のような新しい生活の構想は実現するかに見えた。
Yet, in fact, things initially got worse.	ところが、実際には初期段階で、状態が悪化した。
The route to prosperity and freedom was not straightforward.	繁栄と自由への道のりはまっすぐではなかった。
On the contrary, it led through a valley of tears.	それどころか、いばらの道だったのだ。
People reacted in a variety of ways.	人々の反応は様々であった。
Those who had the chance migrated, first to their homeland’s centers of economic progress, then abroad, to countries and places where the new world could be found immediately.	チャンスがあった人は、まず自国の経済発展の中心地へ、そののち、すでに新しい世界が用意されている外国へと移住した。
Those who stayed behind began to vote in strange ways – electing, for example, the successors of the old Communist parties that they had been glad to get rid of only a few years before.	後に残った人々は奇妙な投票をするようになった―例えば、たった数年前にやっとおさらばしたはずの旧共産党の後継者を選んだりし始めた。
The European Union, for all its weaknesses, has helped the postcommunist countries of Eastern and Southeastern Europe immensely.	欧州連合は弱点を抱えていたにも拘わらず、東と南東ヨーロッパの脱共産主義の国々を大いに助けた。
It made the valley of tears bearable both by offering financial and other assistance and by holding out the promise of membership and economic prosperity in the near future.	財政その他の援助に加え、将来の加盟と経済繁栄を約束することで、いばらの道を堪え切れるものにした。
Equally important, had the EU not supported the creation of an administrative and social infrastructure of liberty, there might well have been a more serious communist or even fascist backlash in Poland, Hungary, and elsewhere.	また、劣らず重要なことは、もしＥＵが自由な社会基盤と行政の創設を支援しなかったならば、ポーランドやハンガリー、その他の国々で、より厳格な共産主義者の台頭や独裁の反動があったかも知れないということだ。
While the politics of frustration was thus controlled in the postcommunist world, it broke out with a vengeance in the Islamic world.	脱共産主義国では挫折感の政治は管理下に置かれていたが、イスラム世界における復讐行為という形で吹き出した。
Here, too, the phenomenon was not new.	こういった現象もまた、今に始まったことではない。
With the onset of modernization, millions of people were uprooted from their traditional communities and ways of life.	近代化の徴候を受け、何百万という人々が伝統的な地域集団と生活様式を失った。
Young men, in particular, saw the prospect of a life more like that presented to them by Western television.	特に若者は、西側のテレビが提示するような人生モデルをより思い描くようになった。
But they soon discovered that realizing this prospect would require a longer and more arduous journey than they had anticipated.	しかし、まもなく彼らは、この人生モデルの実現は、予想していたよりずっと長くつらい旅になることに気づいた。
In fact, it would take at least a generation, during which much of the effort of modern life would have to be made, while the fruits of this effort would remain elusive.	実際に、現代生活のために大変な努力を注ぎ込んだとしても、その努力の成果が目に見えてこないため、少なくとも1世代はかかるだろう。
Earlier generations may have borne the burden of working and waiting more readily, but nowadays people want results here and now.	これまでの世代は快く労働と待機の重荷を負ってきたかもしれないが、今日の人々は、すぐその場で、の結果を求める。
If the benefits do not come quickly – and for most people they do not – they get restless.	利益が早く出ないと―そして大抵の人にとって早く出ることはないのだが―人々は落ち着かなくなる。
The massive migration processes that have only just begun will be the major issue of the coming decades.	まだ始まったばかりの大掛かりな移住過程は、この先10年間で重要問題となるだろう。
Particularly in Africa, migration will be almost the only quick route to modernization.	とりわけアフリカでは、移住が近代化への唯一の近道になると言えよう。
Those who do not manage to get to other countries, or who fail in the countries to which they have migrated, are in a quandary.	外国へ移ることが出来ない人々、あるいは移住先の国で失敗した人々は途方に暮れている。
For them, the old world of traditional ties and customs is gone, but the new world of modernity remains out of reach.	伝統的な結びつきと習慣からは遠ざかり、一方で近代化の新世界にはまだ手が届かない。
They are lost in a limbo of uncertainty and disappointment.	彼らは不安定と失望の地獄の辺土に迷い込んでいるのだ。
It has been argued that this was one of the problems of “belated nations” like Germany a hundred years ago.	これは 「 （ 例えば100年前のドイツのような）遅れた国々」の問題のひとつであると議論されてきた。
Seductive leaders (Hitler among them) exploited the resulting sense of frustration.	人々を引きつける指導者達（ヒットラーもその一人）は、結果として生まれた挫折感を食い物にした。
Whatever the value of such theories, it is evident that the frustration of young people’s ambitions in modernizing countries makes them the object of preachers of hate and tempts them to leave the course of plodding progress and turn to more dramatic action.	このような意見の評価がどうあれ、現代化途中の国の若者が抱く野心や、その先にある挫折感が、彼らを憎悪の伝道者達の対象にし、地道な成功への進路から外れさせ、より劇的な活動に向かわせることは明白である。
What we call “terrorism” has many causes, and one must beware of facile explanations.	我々が「テロリズム」と呼ぶものには数々の原因があるため、安易な説明には用心しなければならない。
However, the politics of frustration, of ambitions raised and then thwarted, is clearly one such cause.	しかしながら、挫折感の政治、そして、一旦高められた上で妨害された野心は、明らかにその原因のひとつである。
It is thus also a challenge to those of us living in more fortunate circumstances.	従って、より恵まれた環境に生きる我々も挑戦するべき時に直面しているのである。
If we do not wish to be submerged in violence and authoritarian responses to it, international institutions must do for the modernizing world what the EU has managed to do for the postcommunist countries.	もし、暴力とそれに反響した独裁主義に侵されたくないならば、かつてＥＵが脱共産主義国のためにどうにかして差し出した支援と同様のことを、国際機関が現代化途中の国々にするべきである。
For the world’s democracies, there is no greater or more important task.	世界の民主主義のために、これ以上重要で重大な課題はない。
	
The Promise of Iraq’s Constitution	イラクの憲法が約束するもの
The constitutional process now under way in Iraq represents a hopeful milestone for all Iraqis.	現在イラクで進行中の立憲プロセスは、すべてのイラク人にとっての、希望に満ちた金字塔と言える。
After decades of successively imposed constitutions, an elected assembly has overseen the process of drafting a new permanent constitution, and the draft text will be voted on by ordinary Iraqis on October 15.	憲法を数十年にわたって継続的に強要されてきた後、当選した憲法選定会議は、新しい永続憲法の起草を管理しており、草案は 10 月 15 日にイラク国民により票決される。
Much of the current talk about the draft’s various provisions thus misses the point.	すなわち、草案のさまざまな条項についての現在の議論は的外れである。
Regardless of whether the referendum succeeds or fails, and regardless of the details of the constitutional text, what is most important is the establishment of constitutional processes and institutions in Iraq, before and after the referendum.	国民投票が成功しようと失敗しようと、また憲法の文面の詳細がいかようであろうと、もっとも大切なことは立憲プロセスの確立であり、国民投票前後の政治制度である。
Concerning the pre-referendum phase, the National Assembly largely succeeded in this task.	国民投票前のフェーズについては、国民議会はほとんどの責務に成功した。
Although Iraq’s interim constitution gave the Assembly exclusive control over the drafting process, the Assembly wisely reached out beyond its membership in creating a constitutional drafting committee.	イラクの暫定憲法が起草プロセスにおいて、議会に排他的な権限を付与したにもかかわらず、議会は賢明にも立憲起草委員会の組成において議員数を超える合意を勝ち取った。
Iraqi leaders were well aware of the decreased participation in the election by a significant portion of Iraq’s multi-ethnic and multi-confessional mosaic, particularly the Sunni community.	イラクの指導者たちは、特にスンニ派になどの、イラクの多民族および多宗教によるモザイクの大部分による選挙への参加が減少していることを十分に認識している。
Accordingly, they sought out those who were under-represented in the Assembly, but whose sense of participation in and ownership of the process was essential, not merely to the constitutional exercise, but to binding the nation’s wounds.	したがって、議会で支持者の少ないものの、憲法の制定のみならず、国家の傷を手当てするためにもプロセスへの参加および所有の意識が不可欠である議員が明らかになった。
This was no mere gesture.	これは単なるジェスチャーではない。
Reaching out was an important component of establishing the rule of law, and it also sent a message that Iraq had truly turned a corner – that no single party sought to dominate Iraq.	合意は法の支配を確立する上で重要な構成要素であり、イラクが真に変化の局面を乗り越え、単一政党がイラクを支配することはないというメッセージを伝えた。
This was an important signal that those elected to the National Assembly understood that democracy does not mean merely the will of the majority.	国民議会に選出された者が民主主義は単に多数決による意思決定を意味するわけではないことを理解していたことは、重要なシグナルであった。
Instead, all Iraqis were allowed to participate in the process, and, though consensus was not ultimately reached, that, too, was a part of the democratization process.	その代わりに、すべてのイラク人は立憲プロセスへの参加を許され、最終的な合意が得られなかったことさえも、民主主義化プロセスに一部である。
In the end, Iraq’s voters will decide whether this is a constitution under which they wish to be governed for the foreseeable future.	最後には、イラクの投票者はこの憲法が、近い将来そのもとで統治されることを望むものであるかを決定するであろう。
Those who chose not to participate in last January’s elections will most certainly do so now, both in the referendum and in the upcoming elections to a new Assembly in December.	去る 1 月の選挙に参加しないことを選択した者は、今回国民選挙および 12 月に予定されている新議会選挙には、もっとも確実に参加するのであろう。
A second important feature of the drafting process was the extent to which the National Assembly complied with the requirements of Iraq’s interim constitution, the Transitional Administrative Law (TAL).	起草プロセスで第二に重要な特徴は、イラクの暫定憲法 (TAL: Transitional Administrative Law) にどの程度国民議会が従うかであった。
At the time of the transfer of authority in June of 2004, many pundits predicted that an elected National Assembly would ignore an interim constitution drafted by an unelected Governing Council and promulgated by an occupying authority.	2004 年 6 月の政権移譲の時点で、多くの専門家は、当選した国民議会は、落選した統治評議会により起草され、支配的勢力によって交付された暫定憲法を無視するであろうと予測していた。
Yet that did not happen.	しかしそういった事態は起こらなかった。
The TAL set a rigorous schedule for the Assembly to complete an initial constitutional draft, and the Assembly essentially abided by those limits.	TAL は議会に、最初の憲法草案の完成について、厳しいスケジュールを課し、議会はこれらの期限を確実に遵守した。
The deadline extension that it passed was in keeping with both the spirit and the letter of the TAL.	期限を延長したものについても、TAL の精神および文面に従っていた。
At long last, it can be said that an Iraqi legislature understood that it was constrained by constitutional principals and the rule of law.	長くなったが、結論としてはイラクの立法府は立憲原則および法の支配により制約を受けることを理解していると言えるであろう。
The test for institution building, however, will come once a constitution has been approved and a new government installed.	ただし、機構設立の試練は、憲法が可決され、新政府が設立された後に訪れるであろう。
Regardless of who wins the elections, there will be temptations to tinker with the constitutional text.	選挙に勝つのが誰であれ、憲法の文面に手を加える誘惑はあるであろう。
Such temptations are understandable, and need not be animated by improper motives.	そういった誘惑は理解できるが、不適切な動機から行われることがあってはならない。
However, given the little weight given to constitutions in Iraq’s modern history, it is likely that the political class will leave the text alone.	しかしながら、イラクの現代史において憲法に少し重点を置いてみると、政治階級が草案に手を加えないであろうことが予測される。
Barring some compelling need, the calculus might well arise that it is more important to abide by the constitution for some time – and to be seen to be abiding by it – than it is even to improve its provisions. Changes can always be proposed after a decent interval passes.	対立する必要性を無視すれば、当面は憲法を遵守し、遵守しているように見せかけることが重要であり、条項を改善することよりも有利であるという計算が働くと考��られる。
It goes without saying that it will be essential to establish that governance in Iraq is institutional, not personal.	イラクにおける統治を確立する必要があるのは、個人ではなく機構であることは言うまでもない。
The American administration was absolutely right to resist the call to turn Iraq over to a caudillo, as some wanted.	アメリカの統治は、一部の人間による、イラクを軍事独裁者 (caudillo) に返還するようにという要求に対抗した点で、完全に正しかった。
Iraq’s salvation from the nightmare that it endured over the previous 35 years lies not in any one man; indeed, reliance on “one man” was the central ingredient in Saddamist rule.	イラクの過去 35 年以上にわたる悪夢からの救済は、一人の人間に委ねられるものではない。 実に 、 「 一人の人間」への依存はサダム独裁による支配の中心的な要素であった。
Here again, Iraq’s immediate past history allows one to be optimistic.	ここでまた、イラクの直近の過去の歴史が楽観することを認めている。
The Iraqi Governing Council was not dominated by any single member, and Iraq’s subsequent governments have also operated collegially.	イラクの統治評議会が単一の議員によって支配されることはなかったのであり、イラクの継承政府もまた協同で運営されている。
Giving life to constitutionally defined political institutions is far more important to the course of Iraq’s immediate future than the specific provisions that the constitution contains.	イラクの直近の未来にとって、憲法によって定義される政治機構に生命を吹き込むことは、憲法に含まれる特定の条項よりもはるかに重要である。
That has been the missing ingredient, not only in Iraq, but also in other countries ruled by despots.	それこそがイラクのみならず、独裁者により支配される諸外国においても失われている構成要素である。
Constitutions frequently enshrine lofty principals, and nobly assure protection of fundamental rights.	憲法はたびたび、高尚な原則を奉るものであり、基本的人権の保護をうやうやしく保障するものである。
The question is whether those guarantees are given meaning on the ground.	問題は、これらの保障が、真に地に足を着いて与えられるものであるか否かである。
If the immediate past is a guide, one has reason for optimism in Iraq.	直近の過去を教訓とするならば、イラクには楽観する理由がある。
	
The Sleeping Volcano of Global Finance	グローバル金融の休火山
The rejection of the European Union’s Constitutional Treaty by French and Dutch voters was, according to all evidence, more a rejection of unregulated globalization than it was a rejection of Europe.	フランスとドイツの投票者によるヨーロッパ連合憲法条約の否決は、あらゆる証拠が示しているように、ヨーロッパに対する拒否ではなく、統治不在のグローバル化に対する拒否である。
The general instability of social relations – most importantly, but not only, of employment – is slowly becoming intolerable for a growing part of the population in many developed countries, not just in Europe.	(唯一ではないが、そのもっとも重要な点が雇用である) 社会的関係の全般的な不安定さが、ヨーロッパだけでなく、多くの発展国の人口の大部分にとって、徐々に耐え難いものとなってきている。
And there cannot be a stable economic order – at least not in democratic countries – if electorates reject its underpinnings.	さらに、有権者の支持なくしては 、 ( 少なくとも民主主義国においては) 安定的な経済秩序は成立しえない。
Capitalism could be reconstructed after World War II because it was buttressed by three necessary types of regulation: social security, which served as a principal stabilizer, at least in the developed countries; Keynesian tools to fight domestic cyclical downturns; and a universal high-wage policy aimed at stimulating general consumption, without which the genius of capitalism – mass production – does not work.	第二次世界大戦後、資本主義は3 つの必要不可欠な規制に支えられながら再構築された。 すなわち、少なくとも発展国においては主要なスタビライザーとして機能した社会的安全性、国内の周期的な経済下降期に対抗するケインズ学派の装置、資本主義の真髄 (大量生産) 発揮に不可欠な全体消費の刺激を目的とする高賃金政策である。
But the realignment of the rich, developed countries around the monetarist policies promoted by economists like Milton Friedman, which began around 1970, broke with all that. Not long after, the dollar was detached from the gold standard.	しかし 1970 年頃に始まった、ミルトン フリードマンなどの経済学者に推された裕福な発展国のマネタリスト政策への再傾倒がそのすべてを破壊した。
Ever since, the international financial system has endured almost constant instability.	それからというもの、国際金融システムはほぼ不断の不安定さに苦しんできた。
Crises have multiplied, with each seemingly worse than the one that came before.	危機は増殖し、時代を追うごとに悪化しているように見える。
Throughout the rich world, poverty has come roaring back.	裕福な世界全体で、貧困は荒れ狂う暗部となっている。
Internal and international inequalities have been increasing at breakneck speed.	国内および国際的な格差が急速に拡大している。
Employment is increasingly precariousness.	雇用も不安定さを増している。
And where unemployment is preferred to universal job insecurity, it has become impossible to suppress.	さらに、全体の雇用不安よりも失業の方が好まれるため、雇用の不安定さを抑えることは不可能となっている。
It is to this state of affairs that the French and Dutch said “no” two months ago.	2 ヶ月前にフランスとドイツが「ノー」を表明した背景には、このような事情があったのである。
Paradoxically, however, a united Europe is likely to be needed even more in the near future than it was in the past.	ただし、逆説的だが、連合ヨーロッパは近い未来、かつてないほど必要とされるようになると考えられる。
After all, beyond the social misery produced by the re-institutionalized cruelty of the current global economic system, the greatest danger facing the world nowadays is that very system’s inherent instability.	現在のグローバル経済システムの、再制度化された残酷さが生んだ社会的苦痛を超える、今日の世界が直面している最大の難局は、システムそのものが内包する不安定さである。
I don’t see any institution other than the EU that has enough size and heft to protect Europeans from a possible implosion.	筆者には、ヨーロッパを内破の危険性から保護するのに十分な規模と重要性を有する機構は、EU 以外には見当たらない。
Consider the simple fact that the American economy is now more than $600 billion in debt.	アメリカ経済の負債が現在 6,000 億ドルを越えているという単純な事実を考えてみたい。
